Process,"Inspection Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Result,Emp#,MC#,Material,"Material Lot",LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",04-01-24,501243,23Z174-1,"Glass Thickness 1",.046,.051,.039,.012,.004,1.07,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z174-2,"Glass Thickness 1",.047,.049,.042,.007,.002,1.84,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z177-1,"Glass Thickness 1",.046,.050,.044,.006,.002,2.34,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z177-2,"Glass Thickness 1",.046,.049,.044,.006,.002,2.67,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z179-1,"Glass Thickness 1",.046,.051,.042,.009,.002,1.74,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z080-2,"Glass Thickness 1",.047,.050,.045,.005,.002,2.59,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z183-1,"Glass Thickness 1",.047,.049,.045,.004,.001,3.38,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z184-1,"Glass Thickness 1",.048,.051,.045,.006,.002,1.61,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z186-1,"Glass Thickness 1",.048,.050,.045,.005,.002,2.52,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z188-1,"Glass Thickness 1",.048,.052,.046,.006,.002,2.01,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z189-2,"Glass Thickness 1",.045,.048,.043,.005,.001,2.96,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z193-0,"Glass Thickness 1",.043,.045,.043,.002,.001,5.20,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-01-24,501243,23Z194-0,"Glass Thickness 1",.046,.049,.042,.007,.002,2.05,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-01-24,501243,23Z196-1,"Glass Thickness 1",.046,.048,.043,.005,.002,2.88,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08-01-24,501243,23Z196-2,"Glass Thickness 1",.046,.048,.044,.004,.002,2.82,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
