Process,"Inspection Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Result,Emp#,MC#,Material,"Material Lot",LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",16-11-23,501243,Test,"Glass Thickness 1",.049,.053,.036,.017,.005,.67,failed,Test,"A 1",LS-1320,Test,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-12-23,501243,200458-1,"Glass Thickness 1",.050,.052,.049,.003,.001,3.22,pass,S1111,"A 1",LS-1320,12R,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08-12-23,501243,23Z012-0,"Glass Thickness 1",.043,.046,.041,.006,.002,2.13,pass,S1234,"A 1",LS-1320/MK,2308101,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",21-12-23,501243,23z897-0,"Glass Thickness 1",.047,.052,.043,.009,.003,1.22,pass,s2222,"A 1",LS-1320,sdfa,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",21-12-23,501243,23X897-0,"Glass Thickness 1",.043,.049,.037,.012,.003,1.08,pass,S2222,"A 1",LS-1320,6661,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z138-1,"Glass Thickness 1",.046,.049,.044,.005,.002,2.59,pass,S0165,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z147-2,"Glass Thickness 1",.044,.048,.040,.008,.003,1.34,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",29-12-23,501243,23Z160-0,"Glass Thickness 1",.043,.050,.038,.013,.003,1.15,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z171-0,"Glass Thickness 1",.046,.048,.044,.004,.001,3.06,pass,S3309,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z175-0,"Glass Thickness 1",.046,.047,.044,.003,.001,4.86,pass,S3309,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z176-1,"Glass Thickness 1",.046,.049,.044,.005,.001,2.99,pass,S3309,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z176-2,"Glass Thickness 1",.045,.047,.043,.004,.001,3.91,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04-01-24,501243,23Z178-1,"Glass Thickness 1",.044,.047,.042,.005,.002,2.55,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z178-2,"Glass Thickness 1",.046,.049,.044,.005,.001,3.23,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z181-2,"Glass Thickness 1",.046,.049,.044,.005,.001,3.04,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z185-1,"Glass Thickness 1",.043,.047,.035,.012,.003,1.13,pass,S0165,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05-01-24,501243,23Z185-2,"Glass Thickness 1",.046,.049,.044,.005,.002,2.44,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-01-24,501243,23Z192-1,"Glass Thickness 1",.046,.048,.044,.004,.001,3.49,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-01-24,501243,23Z192-2,"Glass Thickness 1",.046,.047,.045,.002,.001,5.64,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
